product_id,stock_out_timestamps,stock_out_duration_hours,stock_out_days,total_stock_out_hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[(Timestamp('2022-01-01 00:00:01+0000', tz='UTC'), Timestamp('2022-05-30 19:32:53+0000', tz='UTC')), (Timestamp('2022-05-30 19:32:53+0000', tz='UTC'), Timestamp('2023-03-31 23:59:58+0000', tz='UTC'))]","[3595.547777777778, 7324.451388888889]","[149, 305]",10919.99917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[(Timestamp('2022-01-26 19:23:08+0000', tz='UTC'), Timestamp('2022-01-31 23:59:58+0000', tz='UTC')), (Timestamp('2022-05-24 14:51:40+0000', tz='UTC'), Timestamp('2023-03-31 23:59:58+0000', tz='UTC'))]","[124.6138888888889, 7473.138333333333]","[5, 311]",7597.752222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[(Timestamp('2022-01-20 18:48:48+0000', tz='UTC'), Timestamp('2022-02-01 23:59:58+0000', tz='UTC')), (Timestamp('2022-04-08 11:15:41+0000', tz='UTC'), Timestamp('2022-04-11 23:59:58+0000', tz='UTC')), (Timestamp('2022-11-26 12:28:35+0000', tz='UTC'), Timestamp('2023-03-31 23:59:58+0000', tz='UTC'))]","[293.18611111111113, 84.73805555555556, 3011.5230555555554]","[12, 3, 125]",3389.447222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[(Timestamp('2022-01-01 00:00:01+0000', tz='UTC'), Timestamp('2023-01-23 23:59:58+0000', tz='UTC'))]",[9311.999166666666],[387],9311.999167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[(Timestamp('2022-01-22 23:59:58+0000', tz='UTC'), Timestamp('2022-03-01 23:59:58+0000', tz='UTC'))]",[912.0],[38],912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[(Timestamp('2022-01-01 00:00:01+0000', tz='UTC'), Timestamp('2023-01-19 23:59:58+0000', tz='UTC')), (Timestamp('2023-02-01 23:02:22+0000', tz='UTC'), Timestamp('2023-02-02 23:59:58+0000', tz='UTC')), (Timestamp('2023-02-11 20:03:02+0000', tz='UTC'), Timestamp('2023-02-16 17:04:38+0000', tz='UTC'))]","[9215.999166666666, 24.96, 117.02666666666667]","[383, 1, 4]",9357.985833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[(Timestamp('2022-01-04 08:28:45+0000', tz='UTC'), Timestamp('2022-01-05 13:28:25+0000', tz='UTC')), (Timestamp('2022-06-01 08:37:58+0000', tz='UTC'), Timestamp('2022-06-03 23:59:58+0000', tz='UTC'))]","[28.994444444444444, 63.36666666666667]","[1, 2]",92.36111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[(Timestamp('2022-12-05 10:31:59+0000', tz='UTC'), Timestamp('2023-03-31 23:59:58+0000', tz='UTC'))]",[2797.466388888889],[116],2797.466389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"[(Timestamp('2022-01-01 00:00:01+0000', tz='UTC'), Timestamp('2022-03-25 23:59:58+0000', tz='UTC')), (Timestamp('2022-04-08 09:46:58+0000', tz='UTC'), Timestamp('2022-04-09 17:46:35+0000', tz='UTC')), (Timestamp('2022-06-17 06:42:54+0000', tz='UTC'), Timestamp('2022-06-18 23:59:58+0000', tz='UTC')), (Timestamp('2022-07-24 20:35:26+0000', tz='UTC'), Timestamp('2022-07-25 23:59:58+0000', tz='UTC'))]","[2015.9991666666667, 31.99361111111111, 41.284444444444446, 27.40888888888889]","[83, 1, 1, 1]",2116.686111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"[(Timestamp('2022-03-14 23:59:58+0000', tz='UTC'), Timestamp('2022-03-15 23:59:58+0000', tz='UTC')), (Timestamp('2023-03-09 20:08:10+0000', tz='UTC'), Timestamp('2023-03-31 23:59:58+0000', tz='UTC'))]","[24.0, 531.8633333333333]","[1, 22]",555.8633333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
